ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC0
Vdd:           6
Vana:          90
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         107
VcThr:         103
VIbias_bus:    30
PHOffset:      183
Vcomp_ADC:     50
PHScale:       73
VIColOr:       100
Vcal:          200
CalDel:        128
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC1
Vdd:           6
Vana:          87
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         102
VcThr:         111
VIbias_bus:    30
PHOffset:      176
Vcomp_ADC:     50
PHScale:       80
VIColOr:       100
Vcal:          200
CalDel:        120
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC2
Vdd:           6
Vana:          88
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         147
VcThr:         103
VIbias_bus:    30
PHOffset:      198
Vcomp_ADC:     50
PHScale:       76
VIColOr:       100
Vcal:          200
CalDel:        128
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC3
Vdd:           6
Vana:          93
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         109
VcThr:         103
VIbias_bus:    30
PHOffset:      188
Vcomp_ADC:     50
PHScale:       69
VIColOr:       100
Vcal:          200
CalDel:        108
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC4
Vdd:           6
Vana:          93
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         121
VcThr:         103
VIbias_bus:    30
PHOffset:      181
Vcomp_ADC:     50
PHScale:       71
VIColOr:       100
Vcal:          200
CalDel:        116
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC5
Vdd:           6
Vana:          86
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         131
VcThr:         119
VIbias_bus:    30
PHOffset:      179
Vcomp_ADC:     50
PHScale:       73
VIColOr:       100
Vcal:          200
CalDel:        112
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC6
Vdd:           6
Vana:          96
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         122
VcThr:         111
VIbias_bus:    30
PHOffset:      194
Vcomp_ADC:     50
PHScale:       66
VIColOr:       100
Vcal:          200
CalDel:        120
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC7
Vdd:           6
Vana:          90
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         119
VcThr:         103
VIbias_bus:    30
PHOffset:      178
Vcomp_ADC:     50
PHScale:       69
VIColOr:       100
Vcal:          200
CalDel:        148
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC8
Vdd:           6
Vana:          82
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         140
VcThr:         111
VIbias_bus:    30
PHOffset:      0
Vcomp_ADC:     50
PHScale:       0
VIColOr:       100
Vcal:          200
CalDel:        116
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC9
Vdd:           6
Vana:          97
Vsh:           30
Vcomp:         12
